experiment_group,metric_group,count,min,max,mean,median,p95
Experiment1_FullChain_Combined12,worldview_elapsed_s,12,8.268,192.806,32.426,11.6,120.454
Experiment1_FullChain_Combined12,generate_option_elapsed_s,12,0.01,97.474,12.777,0.021,74.472
Experiment1_FullChain_Combined12,main_character_completion_s,12,0.023,183.835,72.156,62.468,156.009
Experiment1_FullChain_Combined12,provider_queue_mean_ms,12,0.0,7720.971,1889.589,1100.141,6108.458
Experiment2_Worldview_Default,elapsed_s,8,18.36,29.889,22.642,21.477,28.677
Experiment2_Worldview_Default,provider_queue_wait_ms_mean_per_run,8,0.0,7477.538,4522.715,4477.584,7474.2
Experiment2_Worldview_NoCouncil,elapsed_s,8,18.471,143.221,45.744,23.582,114.913
Experiment2_Worldview_NoCouncil,provider_queue_wait_ms_mean_per_run,8,2590.0,98889.154,45764.277,40445.978,91575.22
