protagonist_ref_group,samples,actual_ref_counts,overall_score_mean,overall_score_stddev,reference_identity_fidelity_mean,reference_identity_fidelity_stddev,view_match_accuracy_mean,view_match_accuracy_stddev,semantic_consistency_mean,semantic_consistency_stddev,subject_attribute_consistency_mean,subject_attribute_consistency_stddev,spatial_consistency_mean,spatial_consistency_stddev,style_lighting_consistency_mean,style_lighting_consistency_stddev,detail_integrity_mean,detail_integrity_stddev
protagonist_ref_0,10,[0],8.8,0.4,9.1,0.5385,8.7,0.4583,9.7,0.4583,9.1,0.5385,8.7,0.4583,8.8,0.6,8.5,0.8062
protagonist_ref_1,10,[1],8.8,0.6,9.1,0.3,8.6,0.9165,9.7,0.6403,9.1,0.3,8.6,0.9165,8.9,0.7,8.7,0.6403
protagonist_ref_3,10,[3],9.0,0.0,9.1,0.3,9.0,0.0,10.0,0.0,9.1,0.3,9.0,0.0,9.1,0.3,8.9,0.3
