system,baseline_role,comparison_scope,benchmark_set,sample_size,success_rate,latency_mean_s,latency_p95_s,persona_consistency,setting_adherence,coherence_score,status,evidence_path,notes
DN,ours,worldview planning,benchmark_v1_worldview_default_20,20,1.0,33.657,68.872,TBD,TBD,TBD,ready,experiments/benchmark/outputs/benchmark_v1_summary_metrics.json,DN text-planning reference row.
GenAgents,main baseline,persona-conditioned response / state consistency,genagents_consistency_subset_v1,3,0.667,7.489,TBD,4.667,4.667,4.0,scored,experiments/paper_method_view/1_table1_main_visual_efficiency/baselines/baseline_genagents/summaries/genagents_consistency_judged_live_2026-04-26_dn_env.json,Judge model: gemini-3.1-flash-lite-preview; theme_alignment_mean_1to5=4.667; actionability_mean_1to5=4.667.
AIDungeon,supplementary candidate,open-ended story continuation,TBD adapted subset,TBD,N/A,N/A,N/A,TBD,TBD,TBD,runtime-high-risk,experiments/paper_method_view/1_table1_main_visual_efficiency/baselines/baseline_aidungeon/protocol/aidungeon_runtime_assessment.md,Keep as later task-form comparison if revived.
