baseline_average,baseline_name,comparable_pairs,delta_baseline_minus_dn,dn_average,dn_reference_available,generated_rows,note,rows_total,scored_pairs,status,unscored_pairs
0.0,iclora,0,0.0,0.0,77,0,"Requires ComfyUI + FLUX + IC-LoRA weights; local wrapper prepares workflows only, no image generation was run.",100,0,unavailable,0
1.3139,sdm_v2,77,-3.3614,4.6753,77,100,,100,77,completed,0
0.0,storydiffusion,0,0.0,0.0,77,0,"Official workflow is Gradio/Notebook-oriented; local wrapper prepares manifests only, no batch image CLI was run.",100,0,unavailable,0
