baseline,mode,sample_size,success_rate,mean_latency_s,p95_latency_s,next_turn_time_mean_s,next_turn_p95_s,continuation_success_rate,interaction_continuity,mean_images_per_sample,failed_ids,output_dir,notes
storydiffusion,next_turn,20,1.0,8.495,8.9,8.495,8.9,1.0,1.0,1,,/root/autodl-tmp/outputs/storydiffusion_nextturn_formal20/storydiffusion_nextturn_formal20_unstable_v2_20260430,StoryDiffusion next-turn latency measures the post-click continuation image only.
sdmv2,next_turn,20,1.0,2.827,2.831,2.827,2.831,1.0,1.0,1,,/root/autodl-tmp/outputs/sdmv2_nextturn_formal20/sdmv2_sdmv2_nextturn_formal20_20260430,SDM-v2 next-turn latency measures the post-click continuation image only.
ic-lora,next_turn,20,1.0,30.057,30.059,30.057,30.059,1.0,1.0,1,,/root/autodl-tmp/outputs/iclora_nextturn_formal20_real/ic-lora_real_20260430_nextturn_formal20,IC-LoRA next-turn latency measures the post-click continuation workflow only.
