baseline,sample_size,success_rate,mean_latency_s,p95_latency_s,mean_images_per_sample,failed_ids,output_dir,notes
storydiffusion,20,1.0,7.69,8.415,4,,/root/autodl-tmp/outputs/storydiffusion_formal20/storydiffusion_formal20_unstable_20260430_1200,StoryDiffusion low-VRAM textual-description mode; 4 DN-style scene prompts per item by default.
storydiffusion,8,1.0,8.053,10.036,4,,/root/autodl-tmp/outputs/storydiffusion_formal8/storydiffusion_formal8_unstable_20260430_1131,StoryDiffusion low-VRAM textual-description mode; 4 DN-style scene prompts per item by default.
storydiffusion,3,1.0,9.088,11.152,4,,/root/autodl-tmp/outputs/storydiffusion_smoke3/storydiffusion_smoke3_unstable_20260430_1128,StoryDiffusion low-VRAM textual-description mode; 4 DN-style scene prompts per item by default.
