profile,sample_size,transport_success_count,strict_success_count,success_rate,text_ready_mean_s,image_ready_mean_s,full_ready_mean_s,full_ready_median_s,full_ready_p95_s,direct_image_rate,likely_hit_rate,placeholder_rate,failure_bucket_counts,evidence_path
normal20,20,20,20,1.0,27.095,27.095,27.095,24.571,46.196,1.0,0.0,0.0,{},D:\Projects\DN\experiments\benchmark\standard_runs\benchmark_v15_fullready_nextturn_normal20_composite20_v1.json
pregen60s20,20,20,20,1.0,5.299,5.299,5.299,0.027,27.15,1.0,0.8,0.0,{},D:\Projects\DN\experiments\benchmark\standard_runs\benchmark_v15_fullready_nextturn_pregen60s20_composite20_v1.json
