profile,sample_size,transport_success_count,strict_success_count,success_rate,text_ready_mean_s,image_ready_mean_s,full_ready_mean_s,full_ready_median_s,full_ready_p95_s,direct_image_rate,likely_hit_rate,placeholder_rate,failure_bucket_counts,evidence_path
normal20,20,19,19,0.95,28.868,27.32,27.32,24.919,46.06,0.95,0.05,0.0,"{""image_probe_timeout"": 1}",D:\Projects\DN\experiments\benchmark\standard_runs\benchmark_v15_fullready_nextturn_normal20_fixed_v2.json
pregen60s20,20,19,19,0.95,8.299,5.577,5.577,0.028,28.273,0.95,0.75,0.0,"{""second_click_timeout"": 1}",D:\Projects\DN\experiments\benchmark\standard_runs\benchmark_v15_fullready_nextturn_pregen60s20_fixed_v2.json
