baseline,sample_size,success_rate,mean_latency_s,p95_latency_s,mean_images_per_sample,failed_ids,output_dir,notes
storydiffusion,3,1.0,9.088,11.152,4,,/root/autodl-tmp/outputs/storydiffusion_smoke3/storydiffusion_smoke3_unstable_20260430_1128,StoryDiffusion low-VRAM textual-description mode; 4 DN-style scene prompts per item by default.
storydiffusion,8,1.0,8.053,10.036,4,,/root/autodl-tmp/outputs/storydiffusion_formal8/storydiffusion_formal8_unstable_20260430_1131,StoryDiffusion low-VRAM textual-description mode; 4 DN-style scene prompts per item by default.
sdmv2,3,0.0,,,0,DNQBV1_001;DNQBV1_002;DNQBV1_005,/root/autodl-tmp/outputs/sdmv2_smoke3/sdmv2_smoke3_blocker_20260429,SDM-v2 model load blocked before generation; likely gated model access or network/cache issue.
sdmv2,3,1.0,0.915,1.3,1,,/root/autodl-tmp/outputs/sd_public_v14_smoke3/sdmv2_smoke3_compvis_v14_20260430_1135,SDM-v2 uses diffusers and generates one image per DN-style item; no character-consistency claim.
sdmv2,8,1.0,0.588,0.931,1,,/root/autodl-tmp/outputs/sd_public_v14_formal8/sdmv2_formal8_compvis_v14_20260430_1142,SDM-v2 uses diffusers and generates one image per DN-style item; no character-consistency claim.
ic-lora,3,0.0,,,0,DNQBV1_001;DNQBV1_002;DNQBV1_005,/root/autodl-tmp/outputs/iclora_smoke3/ic-lora_smoke3_check,IC-LoRA smoke currently records workflow/model blocker only; no training is attempted.
