protagonist_ref_group,base_game_id,segment_index,view_bucket,hard_score,expected_protagonist_ref_count,actual_protagonist_ref_count,saved_image_path,saved_json_path
protagonist_ref_3,game_1777175018_804e9w,1,side,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_001.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_001.json
protagonist_ref_3,game_1777175018_804e9w,2,back,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_002.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_002.json
protagonist_ref_3,game_1777175018_804e9w,3,mixed,4,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_003.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_003.json
protagonist_ref_3,game_1777175018_804e9w,4,side,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_004.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_004.json
protagonist_ref_3,game_1777175018_804e9w,5,back,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_005.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_089_game_1777175018_804e9w_protagonist_ref_3\game_1777175018_804e9w_protagonist_ref_3_005.json
protagonist_ref_3,game_1777175534_kzyqsf,1,side,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_001.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_001.json
protagonist_ref_3,game_1777175534_kzyqsf,2,back,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_002.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_002.json
protagonist_ref_3,game_1777175534_kzyqsf,3,mixed,4,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_003.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_003.json
protagonist_ref_3,game_1777175534_kzyqsf,4,side,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_004.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_004.json
protagonist_ref_3,game_1777175534_kzyqsf,5,back,5,3,3,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_005.png,C:\Users\User\Desktop\DN-main\DN-experiment-2.0\ablations\protagonist_ref_ablation\results\hard_identity\protagonist_ref_hard_identity_run_20260426_040417\generated\protagonist_ref_3\theme_092_game_1777175534_kzyqsf_protagonist_ref_3\game_1777175534_kzyqsf_protagonist_ref_3_005.json
