system,baseline_role,comparison_scope,sample_size,first_playable_time_mean_s,p95_latency_s,next_turn_time_mean_s,success_rate,playable_output_completeness,interaction_continuity,status,evidence_path,notes
DN,ours,playable interactive response with pre-generation,20,7.662,17.716,,1.0,4.0,1.0,ready,experiments\paper_method_view\1_table1_main_visual_efficiency\efficiency_metrics\benchmark_v1_summary_metrics.json,DN row uses fullchain generate_option latency as the current first-playable proxy under pre-generated setup.
Plan-Write-Revise,main baseline,on-demand story generation,5,0.833,0.963,0.837,1.0,4,1.0,ready,experiments\paper_method_view\1_table1_main_visual_efficiency\baselines\baseline_plan_write_revise\summaries\pwr_playable_latency_v1_summary_2026-04-26.json,Playable wrapper keeps upstream PWR generation core.
WorldGeneration,main baseline,interactive fiction world construction,8,0.002,0.003,0.0,1.0,4,1.0,ready,experiments\paper_method_view\1_table1_main_visual_efficiency\baselines\baseline_worldgeneration\summaries\worldgeneration_playable_latency_v2_summary_2026-04-26.json,Current stage measures graph-to-playable conversion once upstream graph is produced.
LIGHT,main baseline candidate,interactive dialogue / game-world response,8,0.41,0.477,0.431,1.0,4,1.0,ready,experiments\paper_method_view\1_table1_main_visual_efficiency\baselines\baseline_light\summaries\light_playable_latency_v2_en_summary_2026-04-26.json,Uses official LIGHT-related checkpoint under an English prompt adapter; authority is strong but current semantic fit is still limited.
GenAgents,supplementary baseline,stateful multi-turn agent response,8,9.76,18.697,6.285,0.875,3.875,1.0,ready,experiments\paper_method_view\1_table1_main_visual_efficiency\baselines\baseline_genagents\summaries\genagents_playable_latency_summary_2026-04-26_subset_v2.json,"Used as a playable next-turn supplement, not a full game baseline."
